"Label (Grouping)","Berkeley city, California!!Estimate","Berkeley city, California!!Margin of Error","Berkeley city, California!!Percent","Berkeley city, California!!Percent Margin of Error","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"        $500,000 to $999,999","3,393","±445","16.3%","±1.9","35,862","±1,609","10.2%","±0.4"
"        $1,000,000 or more","16,162","±636","77.6%","±2.0","7,572","±640","2.2%","±0.2"
"        Median (dollars)","1,413,900","±43,756","(X)","(X)","243,100","±2,641","(X)","(X)"
"MORTGAGE STATUS","","","","","","","",""
"    Owner-occupied units","20,829","±792","20,829","(X)","351,905","±4,190","351,905","(X)"
"        Housing units with a mortgage","13,560","±754","65.1%","±2.5","208,070","±3,622","59.1%","±0.8"
"        Housing units without a mortgage","7,269","±563","34.9%","±2.5","143,835","±3,372","40.9%","±0.8"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","",""
"    Housing units with a mortgage","13,560","±754","13,560","(X)","208,070","±3,622","208,070","(X)"
"        Less than $500","19","±23","0.1%","±0.2","2,420","±552","1.2%","±0.3"
"        $500 to $999","122","±59","0.9%","±0.4","30,201","±1,981","14.5%","±0.9"
"        $1,000 to $1,499","295","±106","2.2%","±0.8","58,805","±2,455","28.3%","±1.1"
"        $1,500 to $1,999","438","±141","3.2%","±1.0","48,949","±2,158","23.5%","±1.0"
"        $2,000 to $2,499","719","±152","5.3%","±1.2","29,259","±1,669","14.1%","±0.8"
"        $2,500 to $2,999","1,577","±374","11.6%","±2.4","15,844","±1,137","7.6%","±0.5"
"        $3,000 or more","10,390","±546","76.6%","±2.5","22,592","±1,368","10.9%","±0.6"
"        Median (dollars)","4,000+","***","(X)","(X)","1,620","±20","(X)","(X)"
"    Housing units without a mortgage","7,269","±563","7,269","(X)","143,835","±3,372","143,835","(X)"
"        Less than $250","180","±96","2.5%","±1.3","10,121","±990","7.0%","±0.7"
"        $250 to $399","103","±77","1.4%","±1.0","26,386","±1,606","18.3%","±1.0"
"        $400 to $599","256","±107","3.5%","±1.4","45,918","±2,078","31.9%","±1.2"
"        $600 to $799","700","±198","9.6%","±2.5","30,574","±1,993","21.3%","±1.3"
"        $800 to $999","1,218","±342","16.8%","±4.2","13,891","±1,031","9.7%","±0.7"
