"Label (Grouping)","Berkeley city, California!!Total!!Estimate","Berkeley city, California!!Total!!Margin of Error","Berkeley city, California!!Percent!!Estimate","Berkeley city, California!!Percent!!Margin of Error","Berkeley city, California!!Male!!Estimate","Berkeley city, California!!Male!!Margin of Error","Berkeley city, California!!Percent Male!!Estimate","Berkeley city, California!!Percent Male!!Margin of Error","Berkeley city, California!!Female!!Estimate","Berkeley city, California!!Female!!Margin of Error","Berkeley city, California!!Percent Female!!Estimate","Berkeley city, California!!Percent Female!!Margin of Error","Philadelphia city, Pennsylvania!!Total!!Estimate","Philadelphia city, Pennsylvania!!Total!!Margin of Error","Philadelphia city, Pennsylvania!!Percent!!Estimate","Philadelphia city, Pennsylvania!!Percent!!Margin of Error","Philadelphia city, Pennsylvania!!Male!!Estimate","Philadelphia city, Pennsylvania!!Male!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Male!!Estimate","Philadelphia city, Pennsylvania!!Percent Male!!Margin of Error","Philadelphia city, Pennsylvania!!Female!!Estimate","Philadelphia city, Pennsylvania!!Female!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Female!!Estimate","Philadelphia city, Pennsylvania!!Percent Female!!Margin of Error"
"    Less than high school graduate","(X)","(X)","25.3%","±7.6","(X)","(X)","23.6%","±9.7","(X)","(X)","27.2%","±10.4","(X)","(X)","35.4%","±1.8","(X)","(X)","31.8%","±2.2","(X)","(X)","38.6%","±2.3"
"    High school graduate (includes equivalency)","(X)","(X)","29.5%","±6.1","(X)","(X)","25.4%","±7.3","(X)","(X)","33.8%","±8.4","(X)","(X)","23.8%","±0.9","(X)","(X)","19.9%","±1.1","(X)","(X)","27.5%","±1.3"
"    Some college or associate's degree","(X)","(X)","14.0%","±3.0","(X)","(X)","13.2%","±3.9","(X)","(X)","14.9%","±4.4","(X)","(X)","17.6%","±0.9","(X)","(X)","13.5%","±1.2","(X)","(X)","20.7%","±1.2"
"    Bachelor's degree or higher","(X)","(X)","6.7%","±1.0","(X)","(X)","6.3%","±1.1","(X)","(X)","7.0%","±1.3","(X)","(X)","7.8%","±0.5","(X)","(X)","7.1%","±0.6","(X)","(X)","8.3%","±0.6"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","78,728","±4,199","(X)","(X)","92,066","±7,313","(X)","(X)","69,948","±3,567","(X)","(X)","50,548","±728","(X)","(X)","54,648","±1,029","(X)","(X)","47,538","±666","(X)","(X)"
"        Less than high school graduate","33,154","±4,657","(X)","(X)","35,385","±4,904","(X)","(X)","24,743","±16,022","(X)","(X)","29,423","±1,365","(X)","(X)","33,691","±2,068","(X)","(X)","25,472","±1,664","(X)","(X)"
"        High school graduate (includes equivalency)","31,775","±7,768","(X)","(X)","40,590","±6,955","(X)","(X)","23,203","±9,723","(X)","(X)","36,413","±706","(X)","(X)","40,195","±1,203","(X)","(X)","33,154","±1,232","(X)","(X)"
"        Some college or associate's degree","49,770","±4,039","(X)","(X)","59,004","±8,923","(X)","(X)","38,921","±1,758","(X)","(X)","43,718","±991","(X)","(X)","48,840","±1,288","(X)","(X)","40,400","±982","(X)","(X)"
"        Bachelor's degree","76,110","±6,619","(X)","(X)","93,425","±10,217","(X)","(X)","68,686","±6,435","(X)","(X)","67,570","±1,793","(X)","(X)","73,589","±1,779","(X)","(X)","62,248","±1,675","(X)","(X)"
"        Graduate or professional degree","104,808","±6,109","(X)","(X)","127,392","±17,080","(X)","(X)","91,627","±7,666","(X)","(X)","79,441","±1,319","(X)","(X)","85,299","±2,973","(X)","(X)","75,972","±1,526","(X)","(X)"
