"Label (Grouping)","Philadelphia County, Pennsylvania!!Total!!Estimate","Philadelphia County, Pennsylvania!!Total!!Margin of Error","Philadelphia County, Pennsylvania!!Percent!!Estimate","Philadelphia County, Pennsylvania!!Percent!!Margin of Error","Philadelphia County, Pennsylvania!!Male!!Estimate","Philadelphia County, Pennsylvania!!Male!!Margin of Error","Philadelphia County, Pennsylvania!!Percent Male!!Estimate","Philadelphia County, Pennsylvania!!Percent Male!!Margin of Error","Philadelphia County, Pennsylvania!!Female!!Estimate","Philadelphia County, Pennsylvania!!Female!!Margin of Error","Philadelphia County, Pennsylvania!!Percent Female!!Estimate","Philadelphia County, Pennsylvania!!Percent Female!!Margin of Error","Philadelphia city, Pennsylvania!!Total!!Estimate","Philadelphia city, Pennsylvania!!Total!!Margin of Error","Philadelphia city, Pennsylvania!!Percent!!Estimate","Philadelphia city, Pennsylvania!!Percent!!Margin of Error","Philadelphia city, Pennsylvania!!Male!!Estimate","Philadelphia city, Pennsylvania!!Male!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Male!!Estimate","Philadelphia city, Pennsylvania!!Percent Male!!Margin of Error","Philadelphia city, Pennsylvania!!Female!!Estimate","Philadelphia city, Pennsylvania!!Female!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Female!!Estimate","Philadelphia city, Pennsylvania!!Percent Female!!Margin of Error"
"        High school graduate or higher","2,408","±536","64.9%","±6.8","896","±229","61.3%","±10.2","1,512","±440","67.3%","±9.7","2,408","±536","64.9%","±6.8","896","±229","61.3%","±10.2","1,512","±440","67.3%","±9.7"
"        Bachelor's degree or higher","441","±132","11.9%","±3.8","171","±88","11.7%","±6.2","270","±84","12.0%","±4.4","441","±132","11.9%","±3.8","171","±88","11.7%","±6.2","270","±84","12.0%","±4.4"
"    Asian alone","88,891","±775","(X)","(X)","41,330","±445","(X)","(X)","47,561","±499","(X)","(X)","88,891","±775","(X)","(X)","41,330","±445","(X)","(X)","47,561","±499","(X)","(X)"
"        High school graduate or higher","65,519","±1,559","73.7%","±1.6","30,731","±920","74.4%","±2.2","34,788","±1,046","73.1%","±1.9","65,519","±1,559","73.7%","±1.6","30,731","±920","74.4%","±2.2","34,788","±1,046","73.1%","±1.9"
"        Bachelor's degree or higher","37,324","±1,152","42.0%","±1.2","17,250","±784","41.7%","±1.9","20,074","±863","42.2%","±1.7","37,324","±1,152","42.0%","±1.2","17,250","±784","41.7%","±1.9","20,074","±863","42.2%","±1.7"
"    Native Hawaiian and Other Pacific Islander alone","553","±307","(X)","(X)","226","±148","(X)","(X)","327","±268","(X)","(X)","553","±307","(X)","(X)","226","±148","(X)","(X)","327","±268","(X)","(X)"
"        High school graduate or higher","439","±289","79.4%","±21.6","153","±97","67.7%","±37.6","286","±268","87.5%","±17.3","439","±289","79.4%","±21.6","153","±97","67.7%","±37.6","286","±268","87.5%","±17.3"
"        Bachelor's degree or higher","199","±156","36.0%","±15.1","41","±46","18.1%","±19.7","158","±145","48.3%","±15.2","199","±156","36.0%","±15.1","41","±46","18.1%","±19.7","158","±145","48.3%","±15.2"
"    Some other race alone","79,087","±3,009","(X)","(X)","36,889","±1,623","(X)","(X)","42,198","±1,906","(X)","(X)","79,087","±3,009","(X)","(X)","36,889","±1,623","(X)","(X)","42,198","±1,906","(X)","(X)"
"        High school graduate or higher","53,811","±2,654","68.0%","±2.4","24,627","±1,509","66.8%","±2.9","29,184","±1,734","69.2%","±2.8","53,811","±2,654","68.0%","±2.4","24,627","±1,509","66.8%","±2.9","29,184","±1,734","69.2%","±2.8"
"        Bachelor's degree or higher","11,724","±1,145","14.8%","±1.5","5,535","±759","15.0%","±2.1","6,189","±893","14.7%","±2.1","11,724","±1,145","14.8%","±1.5","5,535","±759","15.0%","±2.1","6,189","±893","14.7%","±2.1"
"    Two or more races","73,841","±3,148","(X)","(X)","35,247","±2,056","(X)","(X)","38,594","±1,957","(X)","(X)","73,841","±3,148","(X)","(X)","35,247","±2,056","(X)","(X)","38,594","±1,957","(X)","(X)"
"        High school graduate or higher","63,481","±2,845","86.0%","±2.0","29,588","±1,769","83.9%","±2.5","33,893","±1,973","87.8%","±2.0","63,481","±2,845","86.0%","±2.0","29,588","±1,769","83.9%","±2.5","33,893","±1,973","87.8%","±2.0"
"        Bachelor's degree or higher","26,219","±1,716","35.5%","±2.0","11,238","±1,113","31.9%","±2.8","14,981","±1,262","38.8%","±2.6","26,219","±1,716","35.5%","±2.0","11,238","±1,113","31.9%","±2.8","14,981","±1,262","38.8%","±2.6"
"    Hispanic or Latino Origin","138,478","*****","(X)","(X)","66,230","*****","(X)","(X)","72,248","*****","(X)","(X)","138,478","*****","(X)","(X)","66,230","*****","(X)","(X)","72,248","*****","(X)","(X)"
"        High school graduate or higher","102,817","±2,351","74.2%","±1.7","48,034","±1,411","72.5%","±2.1","54,783","±1,350","75.8%","±1.9","102,817","±2,351","74.2%","±1.7","48,034","±1,411","72.5%","±2.1","54,783","±1,350","75.8%","±1.9"
"        Bachelor's degree or higher","29,462","±1,822","21.3%","±1.3","13,173","±1,163","19.9%","±1.8","16,289","±1,227","22.5%","±1.7","29,462","±1,822","21.3%","±1.3","13,173","±1,163","19.9%","±1.8","16,289","±1,227","22.5%","±1.7"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","35.4%","±1.8","(X)","(X)","31.8%","±2.2","(X)","(X)","38.6%","±2.3","(X)","(X)","35.4%","±1.8","(X)","(X)","31.8%","±2.2","(X)","(X)","38.6%","±2.3"
"    High school graduate (includes equivalency)","(X)","(X)","23.8%","±0.9","(X)","(X)","19.9%","±1.1","(X)","(X)","27.5%","±1.3","(X)","(X)","23.8%","±0.9","(X)","(X)","19.9%","±1.1","(X)","(X)","27.5%","±1.3"
"    Some college or associate's degree","(X)","(X)","17.6%","±0.9","(X)","(X)","13.5%","±1.2","(X)","(X)","20.7%","±1.2","(X)","(X)","17.6%","±0.9","(X)","(X)","13.5%","±1.2","(X)","(X)","20.7%","±1.2"
"    Bachelor's degree or higher","(X)","(X)","7.8%","±0.5","(X)","(X)","7.1%","±0.6","(X)","(X)","8.3%","±0.6","(X)","(X)","7.8%","±0.5","(X)","(X)","7.1%","±0.6","(X)","(X)","8.3%","±0.6"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","50,548","±728","(X)","(X)","54,648","±1,029","(X)","(X)","47,538","±666","(X)","(X)","50,548","±728","(X)","(X)","54,648","±1,029","(X)","(X)","47,538","±666","(X)","(X)"
"        Less than high school graduate","29,423","±1,365","(X)","(X)","33,691","±2,068","(X)","(X)","25,472","±1,664","(X)","(X)","29,423","±1,365","(X)","(X)","33,691","±2,068","(X)","(X)","25,472","±1,664","(X)","(X)"
"        High school graduate (includes equivalency)","36,413","±706","(X)","(X)","40,195","±1,203","(X)","(X)","33,154","±1,232","(X)","(X)","36,413","±706","(X)","(X)","40,195","±1,203","(X)","(X)","33,154","±1,232","(X)","(X)"
"        Some college or associate's degree","43,718","±991","(X)","(X)","48,840","±1,288","(X)","(X)","40,400","±982","(X)","(X)","43,718","±991","(X)","(X)","48,840","±1,288","(X)","(X)","40,400","±982","(X)","(X)"
"        Bachelor's degree","67,570","±1,793","(X)","(X)","73,589","±1,779","(X)","(X)","62,248","±1,675","(X)","(X)","67,570","±1,793","(X)","(X)","73,589","±1,779","(X)","(X)","62,248","±1,675","(X)","(X)"
"        Graduate or professional degree","79,441","±1,319","(X)","(X)","85,299","±2,973","(X)","(X)","75,972","±1,526","(X)","(X)","79,441","±1,319","(X)","(X)","85,299","±2,973","(X)","(X)","75,972","±1,526","(X)","(X)"
